apartment_name,nearbylocation
Sattva Songbird,"[('NH75', '700 m'), ('RCB International School', '7.3 km'), ('SN Hospital', '6.7 km'), ('Whitefield (Kadugodi) Metro Station', '9 km'), ('Garden City University', '9.1 km'), ('KR Puram Metro Station', '5 km'), ('Gopalan Signature Mall', '6 km')]"
Savyasachi Sarayu,"[('Ideal Nursing Home', '1.5 km'), ('Bangalore Diabetes Hospital', '2.0 km'), ('Mount Carmel College', '1.8 km'), ('Bangalore Cantonment Railway Station', '2.0 km'), ('Elements Mall', '3.0 km')]"
Sdhya Sunshine,"[('Sri Balagangadaranatha Swamy Hosahalli Metro Station', '1.5 km'), ('Shivakrupa Hospital', '2.0 km'), ('Gayathri Hospital Bengaluru Urban', '2.0 km'), ('Vasavi Polytechnic College', '1.8 km')]"
Sekhar Alturas,"[('Global Indian International School', '3 km'), ('Narayana Multispeciality Hospital', '3 km'), ('Sarjapur Main Road', '2 km'), ('Carmelaram Railway Station', '3 km'), ('RGA Techpark', '4 km'), ('Market Square Mall', '3 km')]"
Serenity Gardens by SNN Estates,"[('Royal Meenakshi Mall', '3.5 km'), ('Orchids The International School', '6.5 km'), ('Christ University Bannerghatta Rd', '4.6 km'), ('Harita IT Park', '9.5 km'), ('Rashtreeya Vidyalaya Metro Station', '10.4 km')]"
Sethi Woods Apartment,"[('RMV Hospital', '1.5 km'), ('Mamta Hospital', '2.0 km'), ('Shiksha Sagar High School', '1.8 km'), ('New BEL Road', '1.5 km'), ('UAS School', '2.0 km')]"
Seven Hills Sreepadam Nivasa,"[('Cambridge Institute of Technology', '2 km'), ('Garden City College', '2 km'), ('Deepa Hospital', '2 km'), ('Sri Lakshmi Super Speciality Hospital', '2 km'), ('KR Puram Railway Station', '2 km'), ('Old Madras Road', '1 km'), ('Gopalan Signature Mall', '2 km')]"
Shakeeb Garden,"[('Heritage International School', '2 km'), ('Florida College of Management and Computer Science', '2 km'), ('CDEC Hospital', '2 km'), ('Vasan Eye Care Hospital Banaswadi', '2 km'), ('Arabic College Metro Station', '2 km'), ('Elements Mall', '3 km')]"
Shakthi Developer,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Shakthi Regency,"[('Global City International School', '2 km'), ('LR International School', '2 km'), ('Medihope Super Specialty Hospital', '2 km'), ('Comfort Multispeciality Hospital', '2 km'), ('Old Madras Road', '1 km'), ('Gopalan Signature Mall', '2 km')]"
Shanders Dwellgton,"[('Huskur Road Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Shanthi Park,"[('Ragigudda Metro Station', '2.0 km'), ('Jnana Sanjeevini Hospital', '1.5 km'), ('Kumarans HPS Jayanagar', '1.8 km'), ('Woodys', '1.2 km')]"
Shapoorji Pallonji Parkwest,"[('The Venlakh Hospital', '2.0 km'), ('ORCHIDS The International School', '1.8 km'), ('Mysuru Road Metro Station', '1.5 km'), ('Karnataka Samskrit University', '2.0 km'), ('ETA Namma Mall', '2.0 km')]"
Shapoorji Pallonji Parkwest 2,"[('Gayathri Hospital Pvt Ltd', '2.0 km'), ('ORCHIDS The Int School Majestic', '1.8 km'), ('Kempegowda Metro Station Majestic', '1.5 km'), ('ETA Namma Mall', '2.0 km'), ('Karnataka Samskrit University', '2.0 km')]"
Shapoorji Pallonji Parkwest 3,"[('Balaji Hospital', '2.0 km'), ('Jawahar School', '1.8 km'), ('Kempegowda Metro Station Majestic', '1.5 km'), ('ETA Namma Mall', '2.0 km'), ('Retina Institute Of Karnataka', '2.0 km')]"
Shapoorji Parkwest Phase 2,"[('Balaji Hospital', '2.0 km'), ('Jawahar School', '1.8 km'), ('Mysuru Road Metro Station', '1.5 km'), ('Retina Institute Of Karnataka', '2.0 km'), ('Godwin English School', '2.0 km')]"
Shashwathi Residency,"[('Vijayashree Hospitals', '1.5 km'), ('Krishna Medicals', '0.8 km'), ('Silicon Valley LPS', '1.8 km'), ('KFC', '1.2 km'), ('Immaculate Conception Church', '1.0 km')]"
Sheshadri Residency,"[('Soul Space Spirit Centro Mall', '2 km'), ('Apollo Hospital', '2 km'), ('NH44', '1 km'), ('Bellandur Road Railway Station', '2 km'), ('Sakra World Hospital', '3 km'), ('Geetanjali Olympiad School', '3 km')]"
Shirdi Sai Concord Heights,"[('Sai Hospital', '1.5 km'), ('Regal Hospital', '2.0 km'), ('Karnataka College', '1.8 km'), ('Samar International Islamic School', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km'), ('Tanisandra Railway Station', '2.0 km')]"
Shiva Ganga Pearls,"[('Unity Hospital Bengaluru Urban', '2.0 km'), ('Rajarajeshwari Vidya Shala', '1.8 km'), ('Rajarajeshwari Nagar Metro Station', '1.5 km'), ('Global Village Tech Park', '2.0 km'), ('Carmel School Ground', '2.0 km')]"
Shiva Shakthi Home,"[('Samastha Hospitals Pvt Ltd', '2.0 km'), ('Rays Academy For Learning', '1.8 km'), ('Uttarahalli Bus Station', '1.5 km'), ('Kammavari Sangha Institute of Technology', '2.0 km'), ('Insight Academy', '2.0 km')]"
Shiva Woods,"[('S K Hospital Bengaluru Urban', '2.0 km'), ('National Law School of India University', '1.8 km'), ('Nagarbhavi Bus Stop', '1.5 km'), ('Gurushree Hitech Multispeciality Hospital', '2.0 km'), ('Siddaganga Public School', '2.0 km')]"
Shivadurga Deepthi,"[('Ring Road Hospital', '2.0 km'), ('Apollo Convent', '1.8 km'), ('Banashankari Bus Stop', '1.5 km'), ('Aditya Netralaya', '2.0 km'), ('Sri Krishna PU College', '2.0 km')]"
Shivani Residency,"[('Vasan Eye Care Hospital', '1.5 km'), ('Chinmaya Vidya Kendra', '1.8 km'), ('Deccan Paradise', '1.2 km'), ('Ganesh Temple', '1.0 km')]"
Shivanjali,"[('Dhanush Hospital', '2.0 km'), ('Chandra Gymkhana Institute', '1.8 km'), ('Vijaya Hospital', '2.0 km'), ('Gurushree Hitech Multispeciality Hospital', '2.0 km')]"
Shivaranjani,"[('Panacea Hospital Nagarabhavi', '2.0 km'), ('Orchids The International School', '1.8 km'), ('Nagarbhavi Bus Stop', '1.5 km'), ('Vijaya Hospital', '2.0 km'), ('Dhanush Hospital', '2.0 km')]"
Shivkrupa,"[('Vijaya Hospital', '2.0 km'), ('Chandra Gymkhana Institute', '1.8 km'), ('Dhanush Hospital', '2.0 km'), ('Gurushree Hitech Multispeciality Hospital', '2.0 km')]"
Shoba City,"[('Navya Hospital', '1.5 km'), ('Sai Hospital', '2.0 km'), ('Kensri School', '1.8 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km')]"
Shravanthi Alpyne,"[('Sri Sai Ram Hospital', '2.0 km'), ('Insight Academy', '1.8 km'), ('Yelachenahalli Metro Station', '1.5 km'), ('Rays Academy For Learning', '2.0 km'), ('Dayanand Sagar College of Engineering', '2.5 km')]"
Shravanthi Premier,"[('Uttarahalli Bus Station', '1.5 km'), ('St. Marthas Hospital', '2.0 km'), ('Government School', '1.8 km'),('Sri Chaitanya Techno School', '2.5 km'), ('Bangalore International Public School', '2.0 km')]"
Shravanthi Pristine,"[('Narayana Nethralaya', '2.0 km'), ('Vasan Eye Care Hospital', '2.0 km'), ('Islamia Institute of Technology', '1.8 km'), ('T John Institute of Technology', '2.5 km'), ('BMTC Bus Depot 34', '2.0 km')]"
Shree Krishna E Golden Heights,"[('NV Hospital', '0.027 km'), ('Silicon Valley High School', '0.55 km'), ('The Oterra Hotel', '3.9 km'), ('Manipal University', '6.6 km'), ('Nexus Mall Koramangala', '13.8 km')]"
Shree Nandana Elite,"[('Medax Vijayashree Hospital', '1.8 km'), ('Unique High International School', '2.0 km')]"
Shreedevi Dev Indira Paradise,"[('Bangalore Prime Hospital', '1.5 km'), ('Regal Hospital', '1.8 km'), ('Karnataka College', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Samar International Islamic School', '1.0 km')]"
Shri Aravd Residency,"[('Metro Hospital', '1.5 km'), ('Arpitha Medicals', '0.8 km'), ('Insight Academy', '1.8 km'), ('Karanth Upahar', '1.2 km'), ('Vinayaka Temple', '1.0 km')]"
Shri Bhavani Residency,"[('Akshara Eye Hospital', '1.5 km'), ('MedPlus', '0.8 km'), ('Orchids The International School BTM', '1.8 km'), ('Cafe Coffee Day', '1.2 km'), ('Shaneeshwara Temple', '1.0 km')]"
Shri Krishna Apartments,"[('Santhamma Hospital', '1.5 km'), ('Soukya Hospital', '1.8 km'), ('Little Lillys School', '1.0 km'), ('Yelahanka Junction', '3.0 km'), ('The Galleria Mall', '3.5 km'), ('Doddaballapur Main Road', '1.0 km')]"
Shri Sai Associates,"[('Nova Hospital', '1.5 km'), ('Bilva Hospital', '2.0 km'), ('Kindergarten', '1.8 km'), ('Sampige Road Metro Station', '2.0 km'), ('Mantri Square Mall', '2.5 km')]"
Shri Sai Mounika Espancia,"[('St George High School', '2 km'), ('Sunshine Childrens Home and School', '2 km'), ('Cloudnine Hospital', '2 km'), ('Shishuka Childrens Speciality Hospital', '2 km'),  ('Horamavu Main Road', '1 km'), ('Phoenix Marketcity', '3 km')]"
Shriram 107 Southeast,"[('Athreya Hospital', '1.5 km'), ('MEGA International School', '1.8 km'), ('Attibele Bus Stand', '2.0 km'), ('Alliance University', '3.0 km'), ('Saraswathi Healthcare', '2.0 km')]"
Shriram Adhitya Apartments,"[('Udhbhava Hospital', '1.5 km'), ('Sri Chaitanya Techno School', '2.0 km'), ('Chikkalasandra Bus Stop', '1.5 km'), ('Royal Meenakshi Mall', '4.0 km'), ('Bangalore International Public School', '2.0 km')]"
Shriram Adithya,"[('C.S.Hospital', '2.0 km'), ('Bangalore International Public School', '1.8 km'), ('Chikkalasandra Bus Stop', '1.5 km'), ('Maharaja Agrasen Hospital Bengaluru Urban', '2.0 km'), ('Sri Chaitanya Techno School', '2.0 km')]"
Shriram Blue,"[('National Public School Whitefield', '2 km'), ('Garden City University', '2 km'), ('Koshys Multispecialty Hospital', '2 km'), ('Old Madras Road Hosabasavanapura', '1 km'), ('Orion UPTOWN Mall Huskur', '2 km'), ('Whitefield Metro Station', '2 km'), ('Phoenix Marketcity', '3 km')]"
Shriram Codename Destination,"[('Sri Shirdi Sai Hospital', '1.5 km'), ('Devanahalli Railway Station', '2.0 km'), ('Govt High School', '2.5 km'), ('Nandi Upahara', '1.8 km'), ('The Arcade', '6.0 km'), ('Bengaluru Signature Business Park', '9.0 km')]"
Shriram Codename Dil Chahta Hai,"[('Athreya Hospital', '1.5 km'), ('MEGA International School', '1.8 km'), ('Attibele Bus Stand', '2.0 km'), ('Alliance University', '3.0 km'), ('Hebbagodi Metro Station', '5.0 km')]"
Shriram Codename Smash Hit,"[('Vidyashankara Public School', '3.3 km'), ('Presidency University', '1.7 km'), ('Omega Multispeciality Hospital', '3.8 km'), ('The Galleria Mall', '5.5 km'), ('Yelahanka Junction', '4.0 km'), ('Doddaballapur Main Road', '1.0 km'), ('SH 9', '5.6 km')]"
Shriram Greenfield,"[('Bangalore International School', '2 km'), ('East Point College Of Medical Sciences', '2 km'), ('MVJ Hospital, Dandupalya', '2 km'), ('Orion UPTOWN Mall', '2 km'), ('Channasandra Railway Station', '2 km'), ('NH648', '1 km')]"
Shriram Liberty Square,"[('Mazumdar Shaw Medical Center', '2.0 km'), ('St. Joseph Chaminade Academy', '1.8 km'), ('Heelalige Railway Station', '2.0 km'), ('Ittina Neela Shopping Complex', '2.5 km'), ('St. Francis de Sales Degree College', '2.5 km')]"
Shriram Luxor,"[('Regal Hospital', '1.5 km'), ('Bangalore Prime Hospital', '1.8 km'), ('Karnataka College', '1.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('REVA University', '3.0 km')]"
Shriram Mystique,"[('Goraguntepalya Metro Station', '1.5 km'), ('People Tree Hospitals', '2.0 km'), ('Raksha Multispeciality Hospital', '2.0 km'), ('Orchids The International School', '1.8 km'), ('Yesvantpur Junction Railway Station', '1.5 km')]"
Shriram Sadhana,"[('Shirdi Sai Hospital', '1.5 km'), ('Sri Sai Krupa Hospital Bengaluru Urban', '1.8 km'), ('Saint Claret School', '2.0 km'), ('Yeshwantpur Junction', '3.0 km'), ('Mantri Square Mall', '3.5 km'), ('Jalahalli Metro Station', '2.5 km')]"
Shriram Sahaana,"[('Omega Multispeciality Hospital', '2.5 km'), ('B.M.S. Institute of Technology and Management', '2.0 km'), ('Nitte Meenakshi Institute of Technology', '2.5 km'), ('Yelahanka Junction', '3.5 km'), ('The Galleria Mall', '4.0 km'), ('Doddaballapur Main Road', '1.0 km'), ('Ryan International School', '3.0 km')]"
Shriram Sameeksha,"[('Fathima Hospital', '1.5 km'), ('Government Hospital', '1.8 km'), ('Mallige School of Nursing', '2.0 km'), ('Jalahalli Metro Station', '2.5 km'), ('Mall of Asia', '4.0 km'), ('Yelahanka Junction', '3.0 km'), ('Air Force School', '2.0 km')]"
Shriram Solitaire,"[('Sunshine Public School', '3.3 km'), ('Omega Multispeciality Hospital', '3.8 km'), ('The Galleria Mall', '5.5 km'), ('Yelahanka Junction', '4.0 km'), ('Bellary Road', '1.0 km'), ('REVA University', '5.0 km'), ('Nagarjuna Pre University College', '3.0 km')]"
Shriram Southern Crest,"[('Agar Hospital Kumaraswamy Layout', '1.7 km'), ('My Digital School', '0.1 km'), ('Gopalan Innovation Mall', '3.9 km'), ('Dayananda Sagar University', '1.8 km'), ('Jnanabharathi Metro Station', '10.1 km')]"
Shriram Suhaana,"[('Omega Multispeciality Hospital', '2.5 km'), ('B.M.S. Institute of Technology and Management', '2.0 km'), ('Nitte Meenakshi Institute of Technology', '2.5 km'), ('Yelahanka Junction', '3.5 km'), ('The Galleria Mall', '4.0 km'), ('Doddaballapur Main Road', '1.0 km'), ('Ryan International School', '3.0 km')]"
Shriram Summit,"[('Narayana Health City', '2.0 km'), ('Ebenezer International School', '2.5 km'), ('Heelalige Railway Station', '2.0 km'), ('D Mart', '2.0 km'), ('Forum Mall', '3.0 km')]"
Shriram Surabhi,"[('Aikya Healthcare', '1.5 km'), ('Florence Public School', '2.0 km'), ('BLR Brewing Company', '1.2 km'), ('Vajramuneshwara Temple', '1.0 km')]"
Shriram Suvilas Garden of Joy,"[('Aveksha Hospital', '1.5 km'), ('Ashok International Public School', '1.0 km'), ('Jalahalli Metro Station', '2.0 km'), ('Mall of Asia', '3.0 km'), ('Orion Mall', '3.5 km'), ('Chikka Banavara Junction', '2.5 km'), ('Ramaiah University of Applied Sciences', '2.0 km')]"
Shriram WYT Field,"[('KR Puram Tech Park', '1 km'), ('Phoenix Marketcity', '2 km'), ('Gopalan Signature Mall', '2 km'), ('Vydehi Hospital', '1.5 km'), ('Manipal Hospital', '1.5 km'), ('Vibgyor High School', '1 km'), ('Prestige International School', '1 km')]"
Shubha Shree Sivadurga,"[('Vijaya Hospital', '2.0 km'), ('Chandra Gymkhana Institute', '1.8 km'), ('Govindraja Nagar Bus Stop', '1.5 km'), ('Dhanush Hospital', '2.0 km'), ('Gurushree Hitech Multispeciality Hospital', '2.0 km')]"
Siddartha Serenity,"[('Akshara Eye Hospital', '1.5 km'), ('MedPlus', '0.8 km'), ('Orchids The International School BTM', '1.8 km'), ('Cafe Coffee Day', '1.2 km'), ('Shaneeshwara Temple', '1.0 km')]"
Siddartha Srikara,"[('Fosa Humanitarian Hospital', '1.5 km'), ('AMC Engineering College', '2.0 km'), ('Royal Meenakshi Mall', '2.5 km'), ('Vijayashree Hospitals', '2.0 km'), ('Skalvi International School', '2.5 km')]"
Siddha Basil,"[('Kethams Hospital Pvt. Ltd', '1.5 km'), ('Air Force School', '1.0 km'), ('Yelahanka Junction', '3.0 km'), ('The Galleria Mall', '3.5 km'), ('Doddaballapur Main Road', '1.0 km'), ('State Bank of India Vidyaranyapura Branch', '1.0 km'), ('Little Lillys School', '1.5 km')]"
Siddhartha Gagan Lake View,"[('Hoodi Primary School', '2 km'), ('Hoodi High School', '2 km'), ('Gopalan International School', '2 km'), ('Narayana Multispeciality Hospital', '2 km'), ('Hoodi Railway Station', '2 km'), ('International Tech Park', '2 km')]"
Signature Splendor,"[('Mazumdar Shaw Medical Center', '2.0 km'), ('SRT Mall', '2.5 km'), ('Heelalige Railway Station', '2.0 km'), ('Green Dot Intl School Bandapura', '2.0 km'), ('Spurthy College of Science & Management', '2.5 km')]"
Silicon Prime,"[('Vijayashree Hospitals', '2.0 km'), ('Narayana Nethralaya', '2.0 km'), ('Sudarshan Public School', '1.8 km'), ('BMTC Bus Depot 34', '2.0 km'), ('T John Institute of Technology', '2.5 km')]"
Silicon Terrace,"[('S.J. Hospital', '2.0 km'), ('RMV Hospital', '2.0 km'), ('Naidu Layout Bus Stop', '1.5 km')]"
Silver Crown Apartments,"[('Hospitec Multispeciality Hospital', '2.0 km'), ('VIBGYOR High School', '1.8 km'), ('Hosa Road Metro Station', '1.5 km'), ('Amrita School of Engineering', '2.5 km'), ('Royal Meenakshi Mall', '2.0 km')]"
Sipani Bliss Phase 2,"[('Bommasandra Metro Station', '1.5 km'), ('Athreya Hospital', '2.0 km'), ('Naryana Hrudalya', '2.0 km'), ('Heelalige Railway Station', '2.0 km'), ('London Hospital', '2.5 km')]"
Sipani Royal Heritage,"[('Athreya Hospital', '1.8 km'), ('Spurthy Global School', '2.0 km'), ('Vemana International School', '2.5 km')]"
Sipani Samuha,"[('Nagasandra Metro Station', '0.7 km'), ('Soundarya School', '1.9 km'), ('Parsh Hospital', '6.2 km'), ('Royal College', '10.2 km'), ('Orion Mall', '8.5 km')]"
Sipani Viveza,"[('Electronic City Metro Station', '2.0 km'), ('Sri Laxmi Hospital', '1.5 km'), ('S K Public School', '1.8 km'), ('Manipal University', '2.0 km')]"
Siri Nandhana Uttarahalli,"[('C.S.Hospital', '2.0 km'), ('Bright Way School', '1.8 km'), ('Chikkalasandra Bus Stop', '1.5 km'), ('Maharaja Agrasen Hospital Bengaluru Urban', '2.0 km'), ('Bangalore International Public School', '2.0 km')]"
Siri Sai Castle,"[('Vasan Eye Care Hospital Rajarajeswari Nagar', '2.0 km'), ('PES University', '1.8 km'), ('Nayandahalli Metro Station', '1.5 km'), ('B M Valley School', '2.0 km'), ('Rajarajeshwari Nagar Metro Station', '2.0 km')]"
Siri Spoorthi Enclave,"[('C.S.Hospital', '2.0 km'), ('Bangalore International Public School', '1.8 km'), ('Chikkalasandra Bus Stop', '1.5 km'), ('Maharaja Agrasen Hospital Bengaluru Urban', '2.0 km'), ('Prarthana School', '2.0 km')]"
Siri Vayaka Aspire,"[('Venkateshwara Clinic', '1.0 km'), ('Medplus', '0.5 km'), ('Bangalore International Public School', '1.5 km'), ('South Grand', '1.2 km'), ('Government School', '1.0 km')]"
Siroya Environ,"[('Baptist Hospital', '1.5 km'), ('Poornima Hospital', '2.0 km'), ('Sukrupa School', '1.8 km'), ('Hebbal Railway Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
Sivadurga,"[('Vijaya Hospital', '2.0 km'), ('Cordial High School', '1.8 km'), ('Govindraja Nagar Bus Stop', '1.5 km'), ('Dhanush Hospital', '2.0 km'), ('Bharathy Hospital', '2.0 km')]"
Skanda Homes,"[('Rajnandani Hospital Bangalore', '2.0 km'), ('Srinidhi Public School', '1.8 km'), ('Yelachenahalli Metro Station', '1.5 km'), ('Konanakunte Government Hospital', '2.0 km'), ('Capitol Public School', '2.0 km')]"
Skandha Homes,"[('Rajnandani Hospital Bangalore', '2.0 km'), ('Greenvalley High School', '1.8 km'), ('Yelachenahalli Metro Station', '1.5 km'), ('Capitol Public School', '2.0 km'), ('Amaravathy PU College', '2.0 km')]"
Sky Le Aura,"[('Bangalore Prime Hospital', '1.5 km'), ('Teresa Bacq School', '1.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Samar International Islamic School', '1.0 km'), ('Manasa Public School', '1.5 km')]"
Skylark Arcadia,"[('Hoodi Primary School', '2 km'), ('Narayana Multispeciality Hospital', '2 km'), ('Cloud Nine Hospital', '2 km'), ('Hoodi Railway Station', '2 km'), ('International Tech Park', '2 km'), ('VR Mall', '2 km')]"
Skyle Beverly Park,"[('Amrutha Hospital', '1.5 km'), ('Eswar Women and Day Care Hospital', '2.0 km'), ('Jawaharlal Nehru Centre For Advanced Scientific Research', '2.5 km'), ('Elements Mall', '3.0 km'), ('Sharada School', '2.0 km')]"
Skyle Solstice,"[('New Baldwins School', '2 km'), ('St. George College of Management Science & Nursing', '2 km'), ('Motherhood Women & Children Hospital', '2 km'), ('Milaan Hospital', '2 km'), ('Banaswadi Main Road', '1 km'), ('Gopalan Signature Mall', '3 km')]"
Skyrah Lake View Apartment,"[('Hoodi Primary School', '2 km'), ('Cambridge Institute of Technology', '2 km'), ('Seegehalli Government Hospital', '2 km'), ('S.N. Hospital', '2 km'), ('Hoodi Railway Station', '2 km'), ('International Tech Park', '2 km')]"
Smaran Shrushti Apartment,"[('Nagarbhavi Circle Bus Stop', '1.5 km'), ('Panacea Hospital Nagarabhavi', '2.0 km'), ('Chandana Hospital', '2.0 km'), ('Dr. Ambedkar Institute of Technology', '1.8 km'), ('National Law School of India University', '2.0 km')]"
Snow Drops Residency,"[('Pulse Multispeciality Hospital', '2.0 km'), ('Jnana Deepthi English School', '1.8 km'), ('Deepanjali Nagar Metro Station', '1.5 km'), ('Auden Public School', '2.0 km'), ('PES University', '2.5 km')]"
Sobha Althea,"[('Akshaya Nursing Home', '1.5 km'), ('Omega Multispeciality Hospital', '2.0 km'), ('N4 Srishti Institute of Art Design', '1.0 km'), ('Poorna Prajna Education Center', '1.5 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km')]"
Sobha Brooklyn Towers,"[('Bommasandra Metro Station', '1.5 km'), ('Alliance University', '2.0 km'), ('Athreya Hospital', '2.0 km'), ('Jnana Jyoti Public School', '1.8 km'), ('Heelalige Railway Station', '2.0 km')]"
Sobha Chrysanthemum,"[('Bangalore Prime Hospital', '1.5 km'), ('Samar International Islamic School', '2.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km'), ('Manasa Public School', '2.0 km')]"
Sobha City,"[('Good Health Hospital', '1.5 km'), ('Mannath School', '1.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('REVA University', '2.5 km'), ('Elements Mall', '2.5 km'), ('Jakkur Aerodrome', '3.0 km')]"
Sobha City Athena,"[('Aster CMI Hospital', '2.0 km'), ('Capitol Public School', '1.5 km'), ('Reva University', '2.5 km'), ('Elements Mall', '3.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Manyata Tech Park', '3.5 km'), ('Baiyappanahalli Metro Station', '4.0 km')]"
Sobha City Casa Paradiso,"[('Regal Hospital', '1.5 km'), ('Sai Hospital', '2.0 km'), ('Karnataka College', '1.8 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km')]"
Sobha City Casa Serenita,"[('Regal Hospital', '1.5 km'), ('Sai Hospital', '2.0 km'), ('Karnataka College', '1.8 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km')]"
Sobha City Mykonos,"[('Aster CMI Hospital', '2.0 km'), ('VIBGYOR High School', '2.5 km'), ('Reva University', '3.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('NH44', '1.5 km'), ('Manyata Tech Park', '3.5 km')]"
Sobha City Santori,"[('Regal Hospital', '1.5 km'), ('Sai Hospital', '2.0 km'), ('Karnataka College', '1.8 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km')]"
Sobha Dream Acres,"[('ITPL Metro Station', '3 km'), ('SH 35', '1 km'), ('Jyothi English School', '2 km'), ('Hope Hospital', '3 km'), ('Brookefield Mall', '3 km'), ('Embassy TechVillage', '4 km'), ('Whitefield Railway Station', '4 km')]"
Sobha Dream Gardens,"[('Elements Mall', '2.0 km'), ('Reva Institute', '2.5 km'), ('Delhi Public School', '2.0 km'), ('Regal Hospital', '1.5 km'), ('Cratis Hospital', '1.8 km'), ('Yelahanka Junction', '3.0 km'), ('Manyata Tech Park', '3.5 km')]"
Sobha Forest Edge,"[('Shankar Super Specialty Hospital', '2.0 km'), ('Jnana Sweekar Public School', '1.8 km'), ('Thalaghattapura Metro Station', '1.5 km'), ('Ritu Hospital', '2.0 km'), ('City Engineering College', '2.0 km')]"
Sobha Galera,"[('Prerana International School', '2 km'), ('Garden City University', '2 km'), ('MVJ Hospital', '2 km'), ('Whitefield (Kadugodi) Metro Station', '2 km'), ('Whitefield Railway Station', '2 km'), ('Orion Uptown Mall', '2 km'), ('GR Tech Park', '2 km')]"
Sobha Garrison,"[('Sapthagiri Hospital', '2.0 km'), ('AIMS Institutes', '1.8 km'), ('Nagasandra Metro Station', '1.5 km'), ('Ragavendra Hospital', '2.0 km'), ('Sapthagiri College of Engineering', '2.0 km')]"
Sobha HRC Pristine,"[('Medstar Speciality Hospital', '2.0 km'), ('B G National Public School', '1.5 km'), ('Kodigehalli Railway Station', '2.0 km'), ('Esteem Mall', '2.0 km'), ('Goraguntepalya Metro Station', '3.0 km'), ('University of Agricultural Sciences', '2.5 km'), ('Elements Mall', '2.5 km')]"
Sobha Heritage,"[('Mysore Road Metro Station', '1.5 km'), ('Gopalan Arcade Mall', '2.0 km'), ('PES University', '2.0 km'), ('S S SPARSH', '2.0 km'), ('RNS Institute of Technology', '1.8 km')]"
Sobha Hillview,"[('Unity Hospital', '2.0 km'), ('Dayananda Sagar University', '1.8 km'), ('Nagegowdanapalya Bus Stop', '1.5 km'), ('Sadana Public School', '2.0 km')]"
Sobha Indraprastha,"[('Suguna Hospital', '2.0 km'), ('Vivekananda PU College', '1.8 km'), ('Magadi Road Metro Station', '1.5 km'), ('Mantri Mall', '2.0 km'), ('Brigade School', '2.0 km')]"
Sobha Indraprastha_4th,"[('Suguna Hospital', '2.0 km'), ('Vivekananda PU College', '1.8 km'), ('Magadi Road Metro Station', '1.5 km'), ('Mantri Mall', '2.0 km'), ('Brigade School', '2.0 km')]"
Sobha Insignia,"[('Insight Academy School', '2 km'), ('New Horizon College', '2.6 km'), ('Manipal Hospital', '5.5 km'), ('Bellandur Railway Station', '2.4 km'), ('Kundalahalli Metro Station', '8.5 km'), ('Soul Space Arena Mall', '6.5 km'), ('Wells Fargo Center', '1.4 km')]"
Sobha Lake Gardens,"[('NH75', '1 km'), ('Baiyappanahalli Metro Station', '3 km'), ('Lake Montfort School', '2 km'), ('Manipal Hospital', '3 km'), ('Ascendas Park Square Mall', '4 km'), ('Cambridge PU College', '3 km'), ('ITPL Whitefield', '5 km')]"
Sobha Manhattan,"[('Springleaf Hospital', '2.0 km'), ('PESIT Bengaluru South', '1.8 km'), ('Electronic City Metro Station', '1.5 km'), ('Ramakrishna Hospital', '2.0 km'), ('Azim Premji University', '2.5 km')]"
Sobha Manhattan Towers Town Park,"[('Sri Sai Hospitals', '0.35 km'), ('Mega International School', '4.7 km'), ('Bommasandra Metro Station', '7.4 km'), ('Heelalige Railway Road', '6.4 km'), ('Spurthy College of Science', '8.2 km')]"
